name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3,direct-z3-time,z3 command
Bangalore_v3_false-termination.c.smt2,TRUE,1933,TRUE,4800,TRUE,1933,./PolyHorn experiments/benchmarks/RevTerm/all/Bangalore_v3_false-termination.c.smt2 experiments/configs-base/mathsat/benchmarks/RevTerm/all/Bangalore_v3_false-termination.c.smt2.json,TRUE,496,TRUE,8510,TRUE,496,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_v3_false-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/Bangalore_v3_false-termination.c.smt2.json,TRUE,3357,TRUE,1870,TRUE,1870,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_v3_false-termination.c.smt2 experiments/configs-h2/z3/benchmarks/RevTerm/best_config/Bangalore_v3_false-termination.c.smt2.json,TRUE,589,TRUE,818,TRUE,589,./PolyHorn experiments/benchmarks/RevTerm/best_config/Bangalore_v3_false-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/RevTerm/best_config/Bangalore_v3_false-termination.c.smt2.json,FALSE,,
Bangalore_v4_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
Ben-Amram-LMCS2010-Ex2.3_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
Benghazi_nondet_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
Benghazi_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
BradleyMannaSipma-CAV2005-Fig1_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2,TRUE,15190,TRUE,2724,TRUE,2724,./PolyHorn experiments/benchmarks/RevTerm/best_config/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2 experiments/configs-base/z3/benchmarks/RevTerm/best_config/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2.json,TRUE,543,TRUE,6195,TRUE,543,./PolyHorn experiments/benchmarks/RevTerm/best_config/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2.json,TRUE,53811,TRUE,4744,TRUE,4744,./PolyHorn experiments/benchmarks/RevTerm/best_config/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2 experiments/configs-h2/z3/benchmarks/RevTerm/best_config/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2.json,TRUE,649,TRUE,7108,TRUE,649,./PolyHorn experiments/benchmarks/RevTerm/best_config/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/RevTerm/best_config/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.smt2.json,FALSE,,
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
