name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3,direct-z3-time
svcomp_b.12.c.smt2,TRUE,1433,TRUE,1002,TRUE,1002,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.12.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.12.c.smt2.json,TRUE,740,TRUE,706,TRUE,706,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.12.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/svcomp_b.12.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,923,TRUE,1582,TRUE,923,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.12.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.12.c.smt2.json,FALSE,
svcomp_b.13.c.smt2,TRUE,144326,TRUE,1369,TRUE,1369,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.13.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.13.c.smt2.json,TRUE,905,TRUE,921,TRUE,905,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.13.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.13.c.smt2.json,FALSE,,TRUE,5830,TRUE,5830,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.13.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/svcomp_b.13.c.smt2.json,TRUE,1202,TRUE,1292,TRUE,1202,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.13.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.13.c.smt2.json,FALSE,
svcomp_b.14.c.smt2,FALSE,,TRUE,776,TRUE,776,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.14.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.14.c.smt2.json,TRUE,669,FALSE,,TRUE,669,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.14.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.14.c.smt2.json,FALSE,,FALSE,,FALSE,,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.14.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/svcomp_b.14.c.smt2.json,TRUE,712,FALSE,,TRUE,712,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.14.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.14.c.smt2.json,FALSE,
svcomp_b.15.c.smt2,FALSE,,TRUE,1235,TRUE,1235,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.15.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.15.c.smt2.json,TRUE,946,TRUE,1258,TRUE,946,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.15.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.15.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,1678,FALSE,,TRUE,1678,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.15.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.15.c.smt2.json,FALSE,
svcomp_b.16.c.smt2,FALSE,,TRUE,751,TRUE,751,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.16.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.16.c.smt2.json,TRUE,562,TRUE,815,TRUE,562,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.16.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_b.16.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,660,FALSE,,TRUE,660,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.16.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.16.c.smt2.json,FALSE,
svcomp_b.17.c.smt2,FALSE,,TRUE,35124,TRUE,35124,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.17.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.17.c.smt2.json,TRUE,718,TRUE,696,TRUE,696,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.17.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/svcomp_b.17.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,1431,TRUE,2116,TRUE,1431,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.17.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.17.c.smt2.json,FALSE,
svcomp_b.18.c.smt2,FALSE,,TRUE,897,TRUE,897,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.18.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_b.18.c.smt2.json,TRUE,779,TRUE,598,TRUE,598,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.18.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/svcomp_b.18.c.smt2.json,FALSE,,FALSE,,FALSE,,,TRUE,783,FALSE,,TRUE,783,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_b.18.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_b.18.c.smt2.json,FALSE,
svcomp_c.01_assume.c.smt2,FALSE,,TRUE,647,TRUE,647,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_c.01_assume.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_c.01_assume.c.smt2.json,TRUE,558,TRUE,979,TRUE,558,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_c.01_assume.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_c.01_assume.c.smt2.json,FALSE,,FALSE,,FALSE,,,FALSE,,TRUE,2218,TRUE,2218,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_c.01_assume.c.smt2 experiments/configs-h12/z3/benchmarks/Termination/linear/svcomp_c.01_assume.c.smt2.json,FALSE,
svcomp_c.01-no-inv.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,
svcomp_c.02.c.smt2,FALSE,,TRUE,768,TRUE,768,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_c.02.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/svcomp_c.02.c.smt2.json,TRUE,664,FALSE,,TRUE,664,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_c.02.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/svcomp_c.02.c.smt2.json,FALSE,,TRUE,1964,TRUE,1964,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_c.02.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/svcomp_c.02.c.smt2.json,TRUE,832,FALSE,,TRUE,832,./PolyHorn experiments/benchmarks/Termination/linear/svcomp_c.02.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/svcomp_c.02.c.smt2.json,FALSE,
